text,label
"Tôi còn nhớ hồi nhỏ khi mà tôi còn tận hưởng khoảng thời gian tôi vui chơi thỏa thích, tận hưởng những thứ vui hồi nhỏ, cho đến khi lần đầu tôi bị mẹ tôi đánh, điều đó là rất bình thưởng ở châu Á, nhưng càng ngày nó càng đi xa hơn, sau này thì mẹ tôi không còn đơn thuần là đánh và nói chửi tôi nữa, mẹ tôi đe dọa nhiều lần, dọa chặt ngón tay tôi, có lần bàn tay tôi đã ở ngay dưới lưỡi dao, tôi chỉ biết sợ hãi, khó mà chống trả, mẹ vừa cầm con dao chặt thịt, để nó ngay trên bàn tay tôi, vừa nói những lời mắng mỏ, chửi rủa nặng nề tới tôi, nó diễn ra thường xuyên trong vài năm, cho tới khi tôi đủ lớn và mẹ bắt đầu không còn đánh tôi nữa mà chỉ chửi tôi, bà ấy bảo không chửi tôi, lấy lý do chỉ nói tôi để tôi rút kinh nghiệm, nhưng xen kẽ giữa những lời nói nhắc nhở đó là nhưng câu mắng mỏ nặng nề, mẹ thường nói tôi rất nhiều, hay gõ đầu tôi thật mạnh chỉ vì một lỗi nhỏ, nó vẫn như thế vào nhiều khi tôi có thật sự khó chịu tới nỗi tôi có nói với bà ấy rằng nhiều khi tôi muốn tự sát với hi vọng rằng mẹ tôi sẽ hiểu và dừng mắng mỏ tôi và thấu hiểu, nhưng những gì tôi nhận được lại chỉ là một câu nói khuyến khích tôi tự sát, thể hiện rằng bà ấy không muốn tôi tới mức nào, mặc dù tôi biết kúc đấy mẹ tôi đang giận và nói ra câu đấy là có thể, nhưng thứ nhất lúc đấy tôi còn chưa học lớp 8 và đã rất bị tổn thương vì câu nói đó, thứ hai là vì mẹ tôi tức giận như thế chỉ vì tôi bị một điểm kém bất thường so với điểm bình thường của tôi. tiếp nữa thì em còn nhớ ngày xưa hình phạt nặng nhất và có lẽ gây ra những tổn thương tâm lý nặng nề nhất cho em, lúc đó hình như em mới học tiểu học thôi và ở giai đoạn cuối cấp, lúc đó vì nói dối một tí, thay vì trong phòng học bài thì em lại chơi game, mẹ em phát hiện và thay vì đánh thông thường hay mắng mỏ, mẹ em vẫn đánh em một lát bằng cây chổi, nhưng sau đó trói tay em lại, để cho em đứng trên một cái ghế rộng và nặng sao cho em không đẩy ra được, treo 2 cánh tay bị trói của em lên, ngoài ra còn treo cổ của em với một cái sợi dây nhưng vì đứng trên ghế nên em không làm sao cả, rồi lúc đó tay em bị trói rồi, em cũng chẳng làm được gì, em chỉ biết đứng đó, nhìn mẹ em tụt quần em xuống, chụp bức ảnh tay em bị trói với sợi dây tren trên cổ như sắp bị hành quyết, và không có quần để lộ cơ quan ra, chụp xong mẹ em đe dọa nếu em tái phạm sẽ gửi bức ảnh lên nhóm phụ huynh để sỉ nhục em, em biết là mẹ em sẽ không, nhưng lúc đó em còn nhỏ nên em vẫn tin, sau này thì mẹ em và em vô tình tìm lại bức ảnh đó, em cố gắng xóa, nhưng mẹ em cứ giữ lại với một nụ cười và bảo nếu em có lỗi gì thì dùng tới nó, em đoán giữ lại chỉ đê làm kỷ  niệm thôi nhưng đối với em nó không phải là một kỷ niệm tốt đẹp, đó là một vết thương tâm lý nặng nề, đến bây giờ tưởng như em quên rồi, nhưng em vẫn nhớ nó, không thể kiềm chế được cảm xúc, em vẫn luôn cố gắng kiềm chế cảm xúc, nén nó lại và cứ giữ đó, luôn cố gắng không khóc, nó sẽ là một cách tốt để sửa chữa một vấn đề gì đó mà",3
"Dạo này, em hay cảm thấy buồn mà không rõ nguyên nhân. Có lúc thấy mọi thứ không vui như trước, nhưng sau một giấc ngủ dài, thường em lại cảm thấy tốt hơn,",1
"Em thấy mình mất hứng thú với hầu hết mọi thứ, từ việc học cho đến việc gặp gỡ bạn bè. Thường xuyên cảm thấy mệt mỏi và không muốn làm bất cứ điều gì. Bạn bè em bắt đầu lo lắng,",2
"Em không thể tập trung vào bất cứ điều gì. Cảm giác mất hết hy vọng, và đôi khi nghĩ rằng mọi thứ sẽ không bao giờ tốt lên. Em cảm thấy rất cô đơn và xa lạ với mọi người xung quanh,",3
"Em thấy lo lắng khi phải thuyết trình trước lớp, đôi khi tim đập nhanh hơn. Nhưng sau khi nói chuyện với một vài người, em thường cảm thấy dễ chịu hơn,",1
"Gần đây, em cảm thấy lo lắng gần như mỗi ngày. Mỗi lần điện thoại rung hay có tiếng động lạ, lòng em lại đập nhanh và thấy không yên. Điều này ảnh hưởng đến giấc ngủ của em,",2
"Em luôn cảm thấy lo sợ, dù không có lí do rõ ràng. Đôi khi, em thậm chí không muốn rời khỏi nhà vì sợ sẽ gặp phải một sự cố nào đó. Em thấy mình trong tình trạng căng thẳng liên tục,",3
"Sau mỗi ngày học, em thấy hơi mệt mỏi và muốn nghỉ ngơi. Cảm giác như cần một chút thời gian cho bản thân,",1
"Em bắt đầu cảm thấy mất kiên nhẫn với mọi thứ, từ việc học tới việc giao tiếp với bạn bè. Cảm giác như mình đang chạy trên một con đường không có điểm dừng,",2
"Mỗi ngày đều cảm thấy kiệt sức và mất hứng thú với mọi thứ. Em không còn muốn tiếp tục và thấy mọi thứ đều trở nên vô nghĩa. Em cảm thấy mình không thể tiếp tục nữa,",3
