text,label
"Tôi còn nhớ hồi nhỏ khi mà tôi còn tận hưởng khoảng thời gian tôi vui chơi thỏa thích, tận hưởng những thứ vui hồi nhỏ, cho đến khi lần đầu tôi bị mẹ tôi đánh, điều đó là rất bình thưởng ở châu Á, nhưng càng ngày nó càng đi xa hơn, sau này thì mẹ tôi không còn đơn thuần là đánh và nói chửi tôi nữa, mẹ tôi đe dọa nhiều lần, dọa chặt ngón tay tôi, có lần bàn tay tôi đã ở ngay dưới lưỡi dao, tôi chỉ biết sợ hãi, khó mà chống trả, mẹ vừa cầm con dao chặt thịt, để nó ngay trên bàn tay tôi, vừa nói những lời mắng mỏ, chửi rủa nặng nề tới tôi, nó diễn ra thường xuyên trong vài năm, cho tới khi tôi đủ lớn và mẹ bắt đầu không còn đánh tôi nữa mà chỉ chửi tôi, bà ấy bảo không chửi tôi, lấy lý do chỉ nói tôi để tôi rút kinh nghiệm, nhưng xen kẽ giữa những lời nói nhắc nhở đó là nhưng câu mắng mỏ nặng nề, mẹ thường nói tôi rất nhiều, hay gõ đầu tôi thật mạnh chỉ vì một lỗi nhỏ, nó vẫn như thế vào nhiều khi tôi có thật sự khó chịu tới nỗi tôi có nói với bà ấy rằng nhiều khi tôi muốn tự sát với hi vọng rằng mẹ tôi sẽ hiểu và dừng mắng mỏ tôi và thấu hiểu, nhưng những gì tôi nhận được lại chỉ là một câu nói khuyến khích tôi tự sát, thể hiện rằng bà ấy không muốn tôi tới mức nào, mặc dù tôi biết kúc đấy mẹ tôi đang giận và nói ra câu đấy là có thể, nhưng thứ nhất lúc đấy tôi còn chưa học lớp 8 và đã rất bị tổn thương vì câu nói đó, thứ hai là vì mẹ tôi tức giận như thế chỉ vì tôi bị một điểm kém bất thường so với điểm bình thường của tôi. tiếp nữa thì em còn nhớ ngày xưa hình phạt nặng nhất và có lẽ gây ra những tổn thương tâm lý nặng nề nhất cho em, lúc đó hình như em mới học tiểu học thôi và ở giai đoạn cuối cấp, lúc đó vì nói dối một tí, thay vì trong phòng học bài thì em lại chơi game, mẹ em phát hiện và thay vì đánh thông thường hay mắng mỏ, mẹ em vẫn đánh em một lát bằng cây chổi, nhưng sau đó trói tay em lại, để cho em đứng trên một cái ghế rộng và nặng sao cho em không đẩy ra được, treo 2 cánh tay bị trói của em lên, ngoài ra còn treo cổ của em với một cái sợi dây nhưng vì đứng trên ghế nên em không làm sao cả, rồi lúc đó tay em bị trói rồi, em cũng chẳng làm được gì, em chỉ biết đứng đó, nhìn mẹ em tụt quần em xuống, chụp bức ảnh tay em bị trói với sợi dây tren trên cổ như sắp bị hành quyết, và không có quần để lộ cơ quan ra, chụp xong mẹ em đe dọa nếu em tái phạm sẽ gửi bức ảnh lên nhóm phụ huynh để sỉ nhục em, em biết là mẹ em sẽ không, nhưng lúc đó em còn nhỏ nên em vẫn tin, sau này thì mẹ em và em vô tình tìm lại bức ảnh đó, em cố gắng xóa, nhưng mẹ em cứ giữ lại với một nụ cười và bảo nếu em có lỗi gì thì dùng tới nó, em đoán giữ lại chỉ đê làm kỷ  niệm thôi nhưng đối với em nó không phải là một kỷ niệm tốt đẹp, đó là một vết thương tâm lý nặng nề, đến bây giờ tưởng như em quên rồi, nhưng em vẫn nhớ nó, không thể kiềm chế được cảm xúc, em vẫn luôn cố gắng kiềm chế cảm xúc, nén nó lại và cứ giữ đó, luôn cố gắng không khóc, nó sẽ là một cách tốt để sửa chữa một vấn đề gì đó mà","""PTSD"""
Em thường xuyên thấy mệt và không thường xuyên làm mấy thứ em thích như trước nữa ạ,"""Depression"""
"Em bị kiểu nghĩ và lo lắng về nhiều thứ ấy ạ kiểu không dừng suy nghĩ được luôn ý, dễ bị kích động nữa ạ","""Anxiety"""
Tôi hay bị kiểu suy nghĩ nhiều về quá khứ ạ mặc dù em biết rằng càng suy nghĩ thì mình càng nhanh quên nhưng em thì không em nghĩ nhiều thì em vẫn thường xuyên cố gắng không nghĩ về nó,"""PTSD"""
Em kiểu bị hoàn hảo hóa ý ạ phòng cực sạch sẽ không có rác rửa tay bằng xà phòng lẫn nước rửa tay thi thoảng rửa đến 2 3 lần,"""OCD"""
Em làm việc cũng tương đối nhiều ạ vì dạo này nhiều việc phải làm quá ạ chạy deadline không kịp luôn,"""Burn-out"""
Liệu em có hơi thái quá trong việc nghĩ nhiều về tương lai không ạ đủ thứ ví dụ như kết quả kiểm tra hay là liệu em có vào được trường mà em mong muốn không hoặc em có tốt nghiệp được hay không ạ,"""Overthinking"""
Việc em cảm thấy mình không có lý do để buônf nhưng vẫn buồn có sao không ạ em nghĩ về cái này cũng nhiều ạ em thấy nhiều người khác người ta có cuộc sống khổ hơn mình nhưng vẫn đang sống vui vẻ bình thường rất lạc quan cười nói bình thường nhưng em có điều kiện sống tốt hơn họ rất nhiều em được ăn học đầy đủ được cả bố và mẹ nuôi dưỡng đầy đủ không thiếu gì cả nhưng em vẫn cảm thấy kiểu buồn ý ạ,"""Depression"""
Thì mẹ em mới mất mấy năm trước ý em vẫn còn nhớ về chuyện đấy không quên được ạ em nghĩ về nó nhiều quá ạ em không biết phải làm gì nữa ạ,"""PTSD"""
"Em bị kiểu không thể tập trung vào công việc hay học tập ạ, em hay bị mất hứng thú với những thứ em thích và cảm thấy buồn chán ạ","""Depression"""
"Em bị kiểu sợ hãi vô cớ ạ, em hay bị run rẩy, tim đập nhanh, khó thở và cảm thấy như sắp chết ạ","""Anxiety"""
